,bbox,id,maxDate,minDate,title,timePeriodsRange,area
20264,"8.0, 42.0, 9.0, 43.0",rhoition-oros,300,-330,Rhoition Oros,"-330.0,300.0",
20266,"9.0, 42.0, 10.0, 43.0",rhotanos,300,-330,Rhotanos,"-330.0,300.0",
20272,"9.0, 41.0, 10.0, 42.0",soubasanoi,300,-330,Soubasanoi,"-330.0,300.0",
20273,"9.0, 42.0, 10.0, 43.0",syrboi,300,-330,Syrboi,"-330.0,300.0",
20276,"9.0, 42.0, 10.0, 43.0",tarabenioi,300,-330,Tarabenioi,"-330.0,300.0",
20277,"8.0, 41.0, 9.0, 42.0",tikarios,300,-330,Tikarios,"-330.0,300.0",
20278,"8.0, 42.0, 9.0, 43.0",tilox-akron,300,-330,Tilox Akron,"-330.0,300.0",
20279,"8.0, 41.0, 9.0, 42.0",titianoi,300,-330,Titianoi,"-330.0,300.0",
20280,"8.0, 41.0, 9.0, 42.0",titianos-limen,300,-330,Titianos Limen,"-330.0,300.0",
20282,"9.0, 42.0, 10.0, 43.0",vanacini,300,-330,Vanacini,"-330.0,300.0",
20318,"19.0, 40.0, 20.0, 41.0",ad-novas,640,-30,Ad Novas,"-30.0,640.0",
20322,"22.0, 42.0, 23.0, 43.0",agrianes,-30,-550,Agrianes,"-550.0,-30.0",
20326,"19.0, 40.0, 20.0, 41.0",amantia,300,-330,Amantia,"-330.0,300.0",
20329,"19.0, 42.0, 20.0, 43.0",antibaris,640,-30,Antibaris,"-30.0,640.0",
20340,"22.0, 42.0, 23.0, 43.0",aquae,640,-30,Aquae,"-30.0,640.0",
20342,"21.0, 40.0, 22.0, 41.0",argestaeus-campus,300,-330,Argestaeus Campus,"-330.0,300.0",
20343,"21.0, 41.0, 22.0, 42.0",argestaioi,300,-330,Argestaioi,"-330.0,300.0",
20358,"-7.0, 39.0, -6.0, 40.0",castra-caecilia,640,-330,Castra Caecilia,"-330.0,640.0",
20371,"-7.0, 36.0, -6.0, 37.0",cimbii,-30,-330,Cimbii,"-330.0,-30.0",
20381,"-7.0, 36.0, -6.0, 37.0",cotinussa,300,-330,Cotinussa,"-330.0,300.0",
20382,"-7.0, 36.0, -6.0, 37.0",gaditana,300,-330,Gaditana,"-330.0,300.0",
20385,"-7.0, 36.0, -6.0, 37.0",curense-litus,300,-30,Curense Litus,"-30.0,300.0",
20400,"-10.0, 38.0, -9.0, 39.0",freiria,300,-30,Freiria,"-30.0,300.0",
20402,"-6.2948672, 36.528381, -6.292458, 36.529729",gades,640,-750,Gades,"-750.0,640.0",
20403,"-6.2948672, 36.528381, -6.292458, 36.529729",col-augusta-gaditana,640,-750,Col. Augusta Gaditana,"-750.0,640.0",
20404,"-6.2948672, 36.528381, -6.292458, 36.529729",urbs-iulia-gaditana,640,-750,Urbs Iulia Gaditana,"-750.0,640.0",
20406,"-7.0, 36.0, -6.0, 37.0",glaukou-akra,300,-330,Glaukou Akra,"-330.0,300.0",
20407,"-7.0, 37.0, -6.0, 38.0",Hareni-M,300,-30,Hareni M.,"-30.0,300.0",
20408,"-6.172572, 36.788002, -6.172572, 36.788002",hasta,640,-750,Hasta,"-750.0,640.0",
20409,"-6.172572, 36.788002, -6.172572, 36.788002",asta,640,-750,Asta,"-750.0,640.0",
20410,"-6.172572, 36.788002, -6.172572, 36.788002",col-hasta-regia,-550,-750,Col. Hasta Regia,"-750.0,-550.0",
